channel,snr_db,semantic_psnr,semantic_ssim,semantic_meaning_acc,classical_psnr,classical_ssim,classical_meaning_acc,original_meaning_acc
awgn,-5.0,19.299370484207348,0.6046314649283886,0.43359375,9.945479850738177,0.03522659162990749,0.09765625,0.912109375
awgn,-2.0,21.006910611083573,0.6961953714489937,0.533203125,10.218132018033756,0.050797357922419906,0.1123046875,0.912109375
awgn,0.0,22.027224509982574,0.7445467635989189,0.6025390625,10.572384631518013,0.07179114827886224,0.0927734375,0.912109375
awgn,2.0,22.93490552101607,0.780763428658247,0.6513671875,11.180026566321764,0.10607909224927425,0.0966796875,0.912109375
awgn,5.0,23.969028700525996,0.8190901018679142,0.68359375,12.603695274343668,0.18824446387588978,0.12109375,0.912109375
awgn,8.0,24.710688312589348,0.8422771207988262,0.697265625,15.13288783173104,0.3262454215437174,0.146484375,0.912109375
awgn,10.0,25.023738579498847,0.8513213470578194,0.703125,17.329779279298773,0.42613070271909237,0.1826171875,0.912109375
awgn,12.0,25.25013136627397,0.8575257733464241,0.7060546875,18.994829438553552,0.48707092367112637,0.2275390625,0.912109375
awgn,15.0,25.448221157977237,0.862855538725853,0.7109375,19.699909435090213,0.5090252663940191,0.2265625,0.912109375
awgn,18.0,25.552219997986366,0.865496750921011,0.7138671875,19.727681829864864,0.5100087672472,0.2255859375,0.912109375
awgn,20.0,25.59608756333555,0.8666039109230042,0.716796875,19.727681829864864,0.5100087672472,0.2255859375,0.912109375
rayleigh_block,-5.0,17.531255624960963,0.5105006154626608,0.3466796875,9.87481262720452,0.03865915455389768,0.1025390625,0.912109375
rayleigh_block,-2.0,19.23872482654601,0.5963299237191677,0.458984375,10.241737089941639,0.05587486759759486,0.1044921875,0.912109375
rayleigh_block,0.0,20.440017513296024,0.6587314195930958,0.53515625,10.641492813073878,0.07750724558718503,0.1044921875,0.912109375
rayleigh_block,2.0,21.23372929564821,0.6942835673689842,0.564453125,11.031459849711004,0.09659020230174065,0.107421875,0.912109375
rayleigh_block,5.0,22.61269165480461,0.7566126473248005,0.6220703125,12.34792624343385,0.1710453424602747,0.1142578125,0.912109375
