snr_db,semantic_psnr,semantic_ssim,semantic_meaning_acc,classical_psnr,classical_ssim,classical_meaning_acc,original_meaning_acc
-5.0,19.048245181494096,0.588915940374136,0.2001953125,9.945479850738177,0.03522659162990749,0.09765625,0.912109375
-2.0,20.551509734762305,0.6685565151274204,0.2373046875,10.218132018033756,0.050797357922419906,0.1123046875,0.912109375
0.0,21.37676928385173,0.7092797718942165,0.2744140625,10.572384631518013,0.07179114827886224,0.0927734375,0.912109375
2.0,22.057453569150237,0.7389094904065132,0.28515625,11.180026566321764,0.10607909224927425,0.0966796875,0.912109375
5.0,22.78562687372637,0.7690294459462166,0.291015625,12.603695274343668,0.18824446387588978,0.12109375,0.912109375
8.0,23.246172616823067,0.7865131236612797,0.3017578125,15.13288783173104,0.3262454215437174,0.146484375,0.912109375
10.0,23.41836274957886,0.7927089966833591,0.302734375,17.329779279298773,0.42613070271909237,0.1826171875,0.912109375
12.0,23.54809090895442,0.7972733303904533,0.3115234375,18.994829438553552,0.48707092367112637,0.2275390625,0.912109375
15.0,23.65124986857778,0.8010268658399582,0.3115234375,19.699909435090213,0.5090252663940191,0.2265625,0.912109375
18.0,23.70663614174712,0.8027377277612686,0.3076171875,19.727681829864864,0.5100087672472,0.2255859375,0.912109375
20.0,23.72586951699386,0.8034996874630451,0.30859375,19.727681829864864,0.5100087672472,0.2255859375,0.912109375
