snr_db,semantic_token_acc,semantic_exact_acc
-5.0,0.11144103994593024,0.0
-2.0,0.12085266131907701,0.0
0.0,0.13026123028248549,0.0
2.0,0.13677368126809597,0.0
5.0,0.14091186504811049,0.0
8.0,0.14537658728659153,0.0
10.0,0.1453704833984375,0.0
12.0,0.14885253924876451,0.0
15.0,0.14559021033346653,0.0
18.0,0.14793090801686049,0.0
20.0,0.146759033203125,0.0
