snr_db,semantic_token_acc,semantic_exact_acc,edit_distance,bleu_score
-5.0,0.113983154296875,0.0,0.752398681640625,0.21967693692166654
-2.0,0.12536926288157701,0.0,0.7274810791015625,0.26154288000090314
0.0,0.1328277587890625,0.0,0.7128143310546875,0.2775220030319714
2.0,0.14466247521340847,0.0,0.69833984375,0.29930780936882107
5.0,0.1528167724609375,0.0,0.6879547119140625,0.3112974704471564
8.0,0.15519103966653347,0.0,0.687884521484375,0.31881285564832074
10.0,0.15501709003001451,0.0,0.6827606201171875,0.31850722510436935
12.0,0.1582489013671875,0.0,0.6782958984375,0.3322057097641301
15.0,0.15610046405345201,0.0,0.6802703857421875,0.32707441726534703
18.0,0.15507202129811049,0.0,0.6773162841796875,0.32859988020974
20.0,0.15614624042063951,0.0,0.6813323974609375,0.3285059112239973
