snr_db,semantic_psnr,semantic_ssim,semantic_meaning_acc,classical_psnr,classical_ssim,classical_meaning_acc,original_meaning_acc
-5.0,19.07813807693537,0.5875659994781017,0.212890625,9.943410074545053,0.03593747806735337,0.1005859375,0.908203125
-2.0,20.56324070783979,0.6684889905154705,0.25,10.238604084042997,0.05201816838234663,0.1064453125,0.908203125
0.0,21.388628183302572,0.7068028785288334,0.271484375,10.60268171552386,0.07254268927499652,0.0986328125,0.908203125
2.0,22.0838093581348,0.737706620246172,0.271484375,11.106933626722903,0.1025219070725143,0.1103515625,0.908203125
5.0,22.84021513299158,0.7681524120271206,0.30078125,12.602092581406483,0.18713384866714478,0.1083984375,0.908203125
8.0,23.298738799611037,0.7850946970283985,0.3271484375,15.082041543405062,0.32409890927374363,0.126953125,0.908203125
10.0,23.488704219137627,0.7919962294399738,0.326171875,17.327318402215067,0.4270790796726942,0.2021484375,0.908203125
12.0,23.61406503762278,0.7964546084403992,0.3203125,18.985652021181014,0.4877242371439934,0.19921875,0.908203125
15.0,23.725714731983796,0.8002074137330055,0.3310546875,19.70215074101791,0.5092914532870054,0.21484375,0.908203125
18.0,23.78057825949454,0.8021183647215366,0.3310546875,19.727681741368343,0.5100086685270071,0.21484375,0.908203125
20.0,23.80384279797841,0.8027929179370403,0.322265625,19.727681741368343,0.5100086685270071,0.21484375,0.908203125
